myot,myox,myoy,myoz,myost
myot,myox,myoy,myoz,myost
114404117,0.976074,-0.139648,-0.0703125,1468766053772
114425210,0.972656,-0.144531,-0.0742188,1468766053793
114447777,0.976562,-0.151855,-0.0722656,1468766053816
114464132,0.967285,-0.172363,-0.0644531,1468766053832
114485217,0.967285,-0.165527,-0.0693359,1468766053853
114507688,0.972168,-0.152344,-0.0668945,1468766053875
114524105,0.981445,-0.153809,-0.0634766,1468766053892
114545252,0.973145,-0.178711,-0.0537109,1468766053913
114567775,0.965332,-0.172363,-0.0595703,1468766053936
114584067,0.963867,-0.168457,-0.0620117,1468766053952
114605233,0.968262,-0.16748,-0.0527344,1468766053973
114627762,0.964844,-0.165039,-0.0454102,1468766053996
114644139,0.965332,-0.165039,-0.0649414,1468766054012
114665252,0.965332,-0.169922,-0.0600586,1468766054033
114687560,0.967285,-0.166992,-0.0556641,1468766054055
114703953,0.97168,-0.15332,-0.0576172,1468766054072
114725110,0.977051,-0.151855,-0.0493164,1468766054093
114747515,0.978027,-0.15332,-0.0634766,1468766054115
114763980,0.970215,-0.155273,-0.0571289,1468766054132
114785012,0.97168,-0.145996,-0.0639648,1468766054153
114807719,0.970703,-0.162109,-0.0605469,1468766054176
114824013,0.96875,-0.164551,-0.0566406,1468766054192
114845224,0.966309,-0.164551,-0.0625,1468766054213
114867785,0.965332,-0.168945,-0.0576172,1468766054236
114884105,0.971191,-0.163086,-0.0537109,1468766054252
114913258,0.975586,-0.157715,-0.0522461,1468766054281
114927650,0.974121,-0.16748,-0.0585938,1468766054296
114944121,0.964844,-0.154785,-0.0615234,1468766054312
114965296,0.967773,-0.168945,-0.0556641,1468766054333
114987669,0.971191,-0.166016,-0.0517578,1468766054356
115004047,0.98291,-0.148438,-0.0410156,1468766054372
115025090,0.989746,-0.130371,-0.0483398,1468766054393
115047564,1.02393,-0.126465,0.0288086,1468766054415
115064189,0.960449,-0.167969,-0.0405273,1468766054432
115085253,0.991211,-0.172363,0.00439453,1468766054453
115107741,0.993652,-0.175293,-0.0473633,1468766054476
115124119,0.952148,-0.117676,-0.129883,1468766054492
115145319,0.900391,-0.149902,-0.0771484,1468766054513
115167630,0.928223,-0.149414,-0.0107422,1468766054535
115184095,0.96875,-0.112305,0.012207,1468766054552
115205221,0.995117,-0.129395,0.015625,1468766054573
115227820,0.986328,-0.13916,0.0253906,1468766054596
115244117,0.947754,-0.158691,0.0205078,1468766054612
115266616,0.952637,-0.171387,0.0107422,1468766054634
115287737,0.967285,-0.161621,0.0273438,1468766054656
115304122,0.993652,-0.172363,0.0205078,1468766054672
115326643,0.974609,-0.187988,0.0249023,1468766054694
115349016,0.947266,-0.200684,0.0336914,1468766054717
115364005,0.922852,-0.194336,0.0126953,1468766054732
115386517,0.927246,-0.200684,0.0234375,1468766054754
115407558,0.927246,-0.175293,-0.000488281,1468766054775
115424002,0.932129,-0.161621,0.0209961,1468766054792
115446563,0.951172,-0.15918,0.0317383,1468766054814
115467760,0.976074,-0.155762,0.0166016,1468766054836
115484144,0.983398,-0.117188,0.00976562,1468766054852
115506577,0.962402,-0.155762,0.0415039,1468766054874
115527772,0.931641,-0.181152,0.0239258,1468766054896
115544081,0.882812,-0.194336,-0.000488281,1468766054912
115566649,0.850098,-0.14502,0.0415039,1468766054934
115587730,0.969238,-0.0473633,0.00878906,1468766054956
115604042,0.927246,-0.0761719,0.0209961,1468766054972
115626615,0.947266,-0.236328,0.0786133,1468766054994
115647876,0.97998,-0.296875,-0.0668945,1468766055016
115664114,1.02588,-0.175293,-0.156738,1468766055032
115686552,1.07666,-0.0717773,-0.134766,1468766055054
115707849,1.09766,-0.143066,-0.174316,1468766055076
115724142,0.989746,-0.106445,-0.119141,1468766055092
115746695,1.00244,-0.160645,-0.167969,1468766055114
115767741,1.06494,-0.143555,-0.147949,1468766055136
115784146,0.97168,-0.148438,-0.235352,1468766055152
115806583,0.974121,-0.178711,-0.24707,1468766055174
115827594,1.0083,-0.177734,-0.172363,1468766055195
115851511,0.959473,-0.1875,-0.194824,1468766055219
115866502,0.955566,-0.169434,-0.226074,1468766055234
115887583,0.982422,-0.202637,-0.186035,1468766055255
