timestamp,x,y,z
10045069426,37.875,194.188,-153.875
10045091878,39.875,190.562,-153.5
10045106237,27.1875,184.25,-152.25
10045129381,13.3125,167.312,-153.75
10045151856,0.25,144.75,-155.812
10045166245,-9.375,127.188,-156
10045195517,0.375,111.125,-160.125
10045211990,26.375,99.9375,-162.188
10045226358,69.8125,87.6875,-174
10045249440,86,68.25,-200.938
10045271872,68.625,57.1875,-211.125
10045277423,57.0625,59.0625,-194.875
10045299961,42.0625,52.3125,-187.125
10045314799,3.4375,41.9375,-196
10045337465,-20.3125,47.9375,-205.562
10045359950,-16.0625,56.0625,-198.75
10045374881,-4.3125,52.0625,-192.25
10045397626,-9.875,40.125,-199.562
10045419957,-18.75,34.5,-197.625
10045434800,-14.6875,32.75,-187.688
10045457263,-16.1875,19.9375,-176.625
10045479777,-14.9375,8.75,-157.188
10045494795,19.125,15.6875,-141.438
10045517328,63,24.375,-141.188
10045539770,81.1875,20.375,-140.688
10045554991,58.25,13.5625,-135
10045577482,21.6875,9.75,-128.688
10045600028,-1.3125,9.0625,-111.062
10045615013,-5,12.0625,-102.062
10045640222,-14.6875,21.75,-108.438
10045659853,-29.9375,28.125,-104.062
10045674959,-50,24.375,-85.8125
10045697558,-64.4375,21.875,-67.9375
10045719975,-62.8125,20.375,-55.5625
10045734973,-54.4375,17.1875,-42.9375
10045760704,-42.9375,11.75,-28.875
10045782712,-33.875,4.1875,-10
10045797709,-12.1875,-2.5,15.4375
10045817316,10.0625,-9.0625,30.6875
10045848619,19,-18.25,42.5
10045854883,12.5625,-31.1875,59.875
10045877472,4.4375,-40.9375,72.6875
10045901300,-2.3125,-49.0625,79.1875
10045915003,-6.9375,-55.125,83.375
10045937541,-12.625,-58.3125,83.4375
10045960012,-33.1875,-57.25,86.0625
10045975042,-66.25,-61.9375,97.375
10045997527,-77.0625,-63.3125,112.438
10046019797,-72.375,-61.125,116.312
10046034840,-55.4375,-64.25,111.875
10046057533,-36.625,-71.375,115.562
10046080009,-25.25,-75.4375,131
10046095006,-17.375,-77.25,147.312
10046117367,-13.3125,-79,153.812
10046140016,-17.25,-76.5625,147.312
10046154866,-7.5,-85,150.688
10046177333,5.125,-101.25,169.312
10046199784,7.625,-108.125,177.562
10046214767,-1.25,-104.875,173.312
10046237301,-17.625,-112.625,171.125
10046259793,-27.9375,-132.625,176.875
10046274800,-34.5625,-145.438,185.375
10046297487,-30.8125,-145,189.125
10046319986,-18.9375,-149.312,189.75
10046336267,-0.5625,-161.625,193.125
10046357410,20,-172.625,193.25
10046379962,37.125,-176.875,192.688
10046394904,46.0625,-183.312,189.938
10046417476,49.9375,-195.5,185.875
10046440007,45.75,-202.375,180.125
10046456289,43.1875,-199.938,175.25
10046477571,62.125,-200.938,172.562
10046499896,78.0625,-197.188,166.562
10046516356,79.1875,-179.938,148.625
10046537524,79.875,-152.062,124.688
10046560021,93.875,-128.25,104.688
10046576319,100.438,-118.438,87.125
10046597376,69.1875,-103.375,65.3125
10046619893,6.75,-88.3125,44.25
10046636325,-53.375,-82.9375,37.375
10046657444,-66.9375,-75,29.9375
10046679890,-41,-64.9375,20.3125
10046696349,-10.9375,-47.4375,9.4375
10046720265,11.3125,-36.875,4.5625
10046740027,19.0625,-30.3125,1.25
10046756243,16.9375,-29.125,0.3125
10046777265,10.0625,-23.1875,-3.875
10046799830,-0.3125,-17,-9.25
10046817682,-4.75,-11.25,-10.25
10046837306,-1.5625,2.125,-16.5
10046859785,-4.6875,13.6875,-20.375
10046877746,-7.625,23,-25.125
10046897517,-10.875,29,-28.3125
10046919983,-10.0625,32.625,-30.5
10046937753,-1.375,40.4375,-34.75
10046957538,1.75,48.4375,-36.9375
10046979974,3.0625,58.875,-40.3125
10046997821,-5.3125,70.5,-45.6875
10047017534,-12.0625,86.875,-56.1875
10047040070,-7.5625,104.5,-67.1875
10047057759,-11.25,117.562,-77
10047077557,-18.375,129.375,-88
10047099865,-26.5625,139.938,-98.4375
10047117807,-35.125,149.5,-106.25
10047138857,-33.6875,151.875,-111.188
10047159873,-26.5,157.938,-122.188
10047177770,-28.0625,159.438,-133.312
10047197544,-33.0625,156.188,-134.625
10047227569,-35.5625,149.062,-131.875
10047237800,-37.3125,138.312,-129.25
10047257365,-37.4375,132.312,-129.688
10047279789,-27.6875,126.875,-136.875
10047297750,-20.0625,121.25,-141.875
